Topic/Chapter Name,Video Description,Video URL
Atomic Structure,Absorption Spectra & Emmission Spectra,https://www.youtube.com/watch?v=9wkrJzfBcuQ&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2
Atomic Structure,Bohr? Theory Of Hydrogen Atom,https://www.youtube.com/watch?v=ssRfZQLYQM8&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=2
Atomic Structure,"Black Body Radiation, Planck's Quantum Theory, Einstein Theory",https://www.youtube.com/watch?v=JyvMqX6AZDE&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=3
Atomic Structure,"Rutherford Experiment, Properties of Light",https://www.youtube.com/watch?v=iUDZdwRAaZI&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=4
Atomic Structure,Quantum Numbers,https://www.youtube.com/watch?v=uSfFXXjp3PI&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=5
Atomic Structure,"Hund's Rule, Pauli's Principle, Method of Electronic Configuration",https://www.youtube.com/watch?v=gu3sRhzpPzU&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=6
Atomic Structure,SOMMERFIELDTHEORY,https://www.youtube.com/watch?v=r7c1J0QBCTM&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=7
Atomic Structure,"Aufbau Principle, Moilers Energy Diagram, RULES Of ELECTRONIC CONFIGURATION",https://www.youtube.com/watch?v=M3FsmEmBShg&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=8
Atomic Structure,Heisenberg Uncertainty Principle,https://www.youtube.com/watch?v=wh4g049vGKg&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=10
Atomic Structure,Debroglies Theory,https://www.youtube.com/watch?v=Sy7DQtVAXC4&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=32
Atomic Structure,"Shapes Of s , p , d Orbitals",https://www.youtube.com/watch?v=sfXTqzFvwrM&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=11
Stoichiometry,Introduction,https://www.youtube.com/watch?v=qsctfbOKlyw&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=23
Stoichiometry,Language of Chemistry - 1,https://www.youtube.com/watch?v=iBkoSVBn04M&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=12
Stoichiometry,Scientific Notation of Numericals and Significant Figures,https://www.youtube.com/watch?v=HV_YpJoneT4&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=49
Stoichiometry,Significant Figure,https://www.youtube.com/watch?v=caR3mlFs0lY&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=50
Stoichiometry,Language of Chemistry -2,https://www.youtube.com/watch?v=sQok0DBbMfQ&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=13
Stoichiometry,"Ion and Monovalent Ions, Language of Chemistry - 3",https://www.youtube.com/watch?v=a_EoyfVgZ2g&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=14
Stoichiometry,Mole concept problem's,https://www.youtube.com/watch?v=1nfalSJDwUU&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=59
Stoichiometry,Mole Concept - 1,https://www.youtube.com/watch?v=sQnCmFyVjWA&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=15
Stoichiometry,Mole Concept - 2,https://www.youtube.com/watch?v=J-52xXBSdDA&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=16
Stoichiometry,Stoichiometric Calculation's - 1,https://www.youtube.com/watch?v=s2t9csKCkEw&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=17
Stoichiometry,Stoichiometric Calculations - 2,https://www.youtube.com/watch?v=TipY5IkXR0g&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=18
Stoichiometry,Stoichiometric Calculation's - 3,https://www.youtube.com/watch?v=mnrCIMZ5R2Y&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=9
Stoichiometry,Redox Reactions -1,https://www.youtube.com/watch?v=EicXnjWBmbU&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=24
Stoichiometry,Redox Reactions -2,https://www.youtube.com/watch?v=TfErwBvadck&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=19
Stoichiometry,Balancing Of Redox Reactions - Basic Media,https://www.youtube.com/watch?v=prYqVGc5Qac&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=21
Stoichiometry,Balancing Of Redox Reactions - Basic Media,https://www.youtube.com/watch?v=RzFlCg2Xy2s&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=20
Stoichiometry,Emperical Formulae & Molecular Formulae,https://www.youtube.com/watch?v=YIBmflptWkc&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=22
States Of Matter,Measurable Quantaties Of Gases,https://www.youtube.com/watch?v=9B_vZSPLiVY&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=25
States Of Matter,Intermolecular Forces,https://www.youtube.com/watch?v=u2gJy1RdqdU&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=26
States Of Matter,Boyle's law,https://www.youtube.com/watch?v=kqPcGKm7DlM&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=27
States Of Matter,Charles Law,https://www.youtube.com/watch?v=FK6sgIYY9VU&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=28
States Of Matter,Avogadro's law & Ideal gas equation,https://www.youtube.com/watch?v=ut3Iv5D_0qM&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=29
States Of Matter,"Logorithmic, Using Log Tables In Chemistry Problems",https://www.youtube.com/watch?v=aFjoYvqjjDA&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=30
States Of Matter,Kinetic Theory Of Gases,https://www.youtube.com/watch?v=69zcrGc5qd0&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=31
CLASSIFICATION OF ELEMENTS,PERIODICITY IN PROPERTIES,https://www.youtube.com/watch?v=P3hhDJv1foE&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=33
CLASSIFICATION OF ELEMENTS,PERIODICITY IN PROPERTIES,https://www.youtube.com/watch?v=KmM-6QB8Zf4&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=37
CLASSIFICATION OF ELEMENTS,PERIODICITY IN PROPERTIES,https://www.youtube.com/watch?v=f1Fs5rA34vg&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=34
CLASSIFICATION OF ELEMENTS,PERIODICITY IN PROPERTIES,https://www.youtube.com/watch?v=iiKLW62cf_4&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=41
CLASSIFICATION OF ELEMENTS,PERIODICITY IN PROPERTIES,https://www.youtube.com/watch?v=rj6xd8YmUmM&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=40
CHEMICAL BONDING IONIC BONDING,Introduction ionic bond,https://www.youtube.com/watch?v=oZhH3WwHFCQ&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=62
CHEMICAL BONDING IONIC BONDING,Covalent bond Valency bond theory,https://www.youtube.com/watch?v=X4Om8nOIA7E&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=61
CHEMICAL BONDING IONIC BONDING,"Covalent coordinate bond, vsepr theory",https://www.youtube.com/watch?v=ypjdeUJGVj4&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=60
CHEMICAL BONDING IONIC BONDING, part1,https://www.youtube.com/watch?v=0GQdVaA_2Eg&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=39
CHEMICAL BONDING IONIC BONDING,part2,https://www.youtube.com/watch?v=4WKBPsVfZ_Q&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=38
ACIDS AND BASES,Bronsted theory of Acids and bases,https://www.youtube.com/watch?v=6XbkqnA6k9E&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=63
ACIDS AND BASES,Lewis theory of Acids and bases,https://www.youtube.com/watch?v=hqSFKiDNX94&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=64
ACIDS AND BASES,Ionic Product of Water,https://www.youtube.com/watch?v=-iV53LFgIK8&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=56
ACIDS AND BASES,PH NUMERICAL PROBLEMS - Ionic Product of Water,https://www.youtube.com/watch?v=NuQRLmXa4eg&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=48
ACIDS AND BASES,"Ionic Product of Water, ph numerical problems",https://www.youtube.com/watch?v=NsOaWBBTx1s&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=53
ACIDS AND BASES,"SALT HYDROLYSIS, Ionic Product of Water, Salt Hydrolysis",https://www.youtube.com/watch?v=xkv5UvKpa6o&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=51
ACIDS AND BASES,"CHEMISTRY SOLUBILITY PRODUCT, Ionic Product of Water, solubility product",https://www.youtube.com/watch?v=TxPSvdWEpbU&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=55
CHEMICAL EQUILIBRIUM LECHATLIERS,LE-CHATLIER'S principle,https://www.youtube.com/watch?v=Trx_Sh8_NoA&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=65
CHEMICAL EQULIBRIUM CHEMICAL REACTONS,Introduction of CHEMICAL EQULIBRIUM CHEMICAL REACTONS,https://www.youtube.com/watch?v=zKF5LuyE1wQ&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=66
THERMODYNAMICS,"Interduction of thermodynamics, Laws in thermodynamics",https://www.youtube.com/watch?v=efvyjWeyXY4&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=68
CHEMISTRY HYDRO CARBON,"Methods of Preperations & Properties of Hydro Carbons, Ethane & Ethylene",https://www.youtube.com/watch?v=D-C3crPu3wo&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=52
CHEMISTRY HYDRO CARBON,part 5,https://www.youtube.com/watch?v=D-C3crPu3wo&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=54
CHEMISTRY HYDRO CARBON,"Methods of Preperations & Properties of Hydro Carbons, actylene benzene",https://www.youtube.com/watch?v=Hl4CkWFLQD0&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=57
CHEMISTRY HYDRO CARBON,ALLOTROPY,https://www.youtube.com/watch?v=QAJY-emvkdQ&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=58
CHEMISTRY HYDRO CARBON,"iupac nomenclature of hydro carbons, iupac nomenclature of organic compounds IV",https://www.youtube.com/watch?v=fRe3fQExVNI&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=67
CHEMISTRY HYDRO CARBON,Classification of organic compounds,https://www.youtube.com/watch?v=Xpb4iF86rhw&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=69
CHEMISTRY HYDRO CARBON,selection of main chain,https://www.youtube.com/watch?v=lqh2dOiVa4Y&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=70
CHEMISTRY HYDRO CARBON,IUPAC nomenclature of organic compounds,https://www.youtube.com/watch?v=5mx32BHpslA&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=71
CHEMISTRY HYDRO CARBON,Hybridization,https://www.youtube.com/watch?v=VSTTCF1S7p0&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=72
CHEMISTRY HYDRO CARBON,ORGANIC CHEMISTRY,https://www.youtube.com/watch?v=He_tqDajqik&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=73
CHEMISTRY HYDRO CARBON,IUPAC NOMENCLATURE having more than one similar groups,https://www.youtube.com/watch?v=KwnkoMzsyWY&list=PLMWDrUbeKoyJ2dmcQ5Ovlwq-vmqOfJFO2&index=74
